type	x	y
1	0	0
3	60	0
1	120	0
2	180	0
3	240	0
2	300	0
3	360	0
2	420	0
2	480	0
3	540	0
3	600	0
2	660	0
2	720	0
3	0	120
3	60	120
3	120	120
3	180	120
2	240	120
2	300	120
1	360	120
2	420	120
3	480	120
2	540	120
3	600	120
1	660	120
3	720	120
2	0	240
1	60	240
2	120	240
1	180	240
3	240	240
1	300	240
1	360	240
3	420	240
3	480	240
2	540	240
3	600	240
3	660	240
1	720	240
2	0	360
3	60	360
3	120	360
3	180	360
3	240	360
3	300	360
2	360	360
3	420	360
2	480	360
2	540	360
1	600	360
1	660	360
2	720	360
3	0	480
3	60	480
3	120	480
1	180	480
3	240	480
2	300	480
3	360	480
2	420	480
1	480	480
2	540	480
1	600	480
1	660	480
1	720	480
